ease5_序号,ease5_行号,ease5_列号,ease5_x,ease5_y,ease5_z,self_序号,self_行号,self_列号,self_x,self_y,self_z,ease5_spl,self_spl,delta_db(self-ease5),match_dist_xyz
1,1,1,-3.84,11.92,1.2,1,1,1,-3.85,11.92,1.2,81.33,82.7,1.3700000000000045,0.010000000000000231
2,1,2,-3.44,11.92,1.2,2,1,2,-3.46,11.92,1.2,82.13,83.15,1.0200000000000102,0.020000000000000018
3,1,3,-3.04,11.92,1.2,3,1,3,-3.04,11.92,1.2,82.92999999999999,83.87,0.9400000000000119,0.0
4,1,4,-2.64,11.92,1.2,4,1,4,-2.65,11.92,1.2,83.73,84.31,0.5799999999999983,0.009999999999999787
5,1,5,-2.24,11.92,1.2,5,1,5,-2.23,11.92,1.2,84.23,84.92,0.6899999999999977,0.010000000000000231
6,1,6,-1.84,11.92,1.2,6,1,6,-1.84,11.92,1.2,84.73,85.31,0.5799999999999983,0.0
7,1,7,-1.44,11.92,1.2,7,1,7,-1.44,11.92,1.2,85.13,85.65,0.5200000000000102,0.0
8,1,8,-1.04,11.92,1.2,8,1,8,-1.03,11.92,1.2,85.33,85.87,0.5400000000000063,0.010000000000000009
9,1,9,-0.63,11.92,1.2,9,1,9,-0.63,11.92,1.2,85.42999999999999,86.01,0.5800000000000125,0.0
10,1,10,-0.23,11.92,1.2,10,1,10,-0.22,11.92,1.2,85.33,86.06,0.730000000000004,0.010000000000000009
11,1,11,0.19,11.92,1.2,11,1,11,0.18,11.92,1.2,85.33,86.09,0.7600000000000051,0.010000000000000009
12,1,12,0.59,11.92,1.2,12,1,12,0.59,11.92,1.2,85.33,85.98,0.6500000000000057,0.0
13,1,13,0.99,11.92,1.2,13,1,13,0.99,11.92,1.2,85.33,85.92,0.5900000000000034,0.0
14,1,14,1.39,11.92,1.2,14,1,14,1.4,11.92,1.2,85.42999999999999,85.87,0.44000000000001194,0.010000000000000009
15,1,15,1.79,11.92,1.2,15,1,15,1.8,11.92,1.2,85.33,85.9,0.5700000000000074,0.010000000000000009
16,1,16,2.19,11.92,1.2,16,1,16,2.19,11.92,1.2,85.42999999999999,85.97,0.5400000000000063,0.0
